"employeeId","firstName","surName","age","dateOfBirth","position","salary","isSenior"
"91","Greg345","Davis","35","1989-10-31","Principal Consultant","199872.45","True"
"92","Chris234","Martinez","29","1995-10-30","Marketer","115698.34","True"
"93","Tina234","Jackson","56","1968-11-05","Business Analyst","129937.28","True"
"94","Walter234","Smith","58","1966-11-06","Software Engineer","139198.67","True"
"95","Sara234","White","47","1977-11-03","Project Manager","194683.29","True"
"96","Lucy234","Moore","40","1984-11-01","Principal Consultant","195984.58","True"
"97","Rick234","Clark","52","1972-11-04","HR Manager","105002.47","True"
"98","John234","Miller","60","1964-11-06","Data Engineer","110067.35","True"
"99","Kate234","Jones","45","1979-11-03","Systems Engineer","1580463.92","True"
"100","Hank234","Wilson","33","1991-10-31","Marketer","180045.77","True"
