"employeeId","firstName","surName","age","dateOfBirth","position","salary","isSenior"
"1","Chris","Harris","32","1992-10-30","Project Manager","113023.53","True"
"2","Greg","Wilson","60","1964-11-06","Data Engineer","93906.81","True"
"3","Anna","Martin","55","1969-11-05","Principal Consultant","82613.68","True"
"4","Tina","Williams","53","1971-11-05","Software Engineer","132029.84","True"
"5","Rick","Miller","58","1966-11-06","Software Engineer","122043.78","True"
"6","Sophie","Lee","41","1983-11-02","Project Manager","72057.37","True"
"7","Skylar","Brown","56","1968-11-05","HR Manager","136165.71","True"
"8","Dan","Wilson","53","1971-11-05","Principal Consultant","110736.03","True"
"9","Greg","Clark","33","1991-10-31","Data Engineer","102346.39","True"
"10","Mike","Moore","55","1969-11-05","Accountant","99244.58","True"
"11","Hank","Garcia","44","1980-11-02","Business Analyst","136979.41","True"
"12","Sara","Lewis","54","1970-11-05","Data Engineer","125248.8","True"
"13","Sara","Smith","31","1993-10-30","Principal Consultant","142191.12","True"
"14","Mike","Davis","60","1964-11-06","Software Engineer","131652.45","True"
"15","Paul","Jackson","52","1972-11-04","Project Manager","134449.01","True"
"16","Jessie","Wilson","33","1991-10-31","Systems Engineer","85449.04","True"
"17","Sara","Moore","44","1980-11-02","Systems Engineer","137210.95","False"
"18","Greg","Garcia","59","1965-11-06","Marketer","77539.09","False"
"19","Chris","Clark","31","1993-10-30","Marketer","142835.46","False"
"20","Kate","Harris","26","1998-10-29","Accountant","86587.99","False"
"21","Kate","Davis","35","1989-10-31","Principal Consultant","134758.9","False"
"22","John","Taylor","28","1996-10-29","Marketer","113835.73","False"
"23","Anna","Clark","37","1987-11-01","Marketer","127591.95","False"
"24","Lucy","Perez","27","1997-10-29","Principal Consultant","144491.42","False"
"25","Jake","Martinez","42","1982-11-02","Business Analyst","137834.33","False"
"26","Kate","Lee","38","1986-11-01","Principal Consultant","79629.6","False"
"27","Lucy","Wilson","42","1982-11-02","Data Engineer","73388.75","False"
"28","Tom","Johnson","50","1974-11-04","Software Engineer","101471.68","False"
"29","Skylar","Brown","47","1977-11-03","AI Engineer","136570.07","False"
"30","Tina","Smith","40","1984-11-01","Systems Engineer","147287.66","False"
"31","Kate","Martinez","51","1973-11-04","Project Manager","90131.56","False"
"32","Jake","Garcia","58","1966-11-06","Data Engineer","121557.24","False"
"33","Greg","Wilson","31","1993-10-30","Business Analyst","89557.08","False"
"34","John","Harris","30","1994-10-30","Business Analyst","102924.05","False"
"35","Lucy","Perez","29","1995-10-30","HR Manager","127614.14","False"
"36","Rick","Smith","30","1994-10-30","Accountant","68757.2","False"
"37","Lucy","Miller","53","1971-11-05","Systems Engineer","138572.19","False"
"38","Saul","Moore","49","1975-11-04","Marketer","134783.24","False"
"39","Hank","Brown","52","1972-11-04","Software Engineer","114776.14","False"
"40","Hank","Harris","41","1983-11-02","Principal Consultant","110703.71","False"
"41","Sara","Lewis","50","1974-11-04","Principal Consultant","131983.73","False"
"42","Jessie","Brown","37","1987-11-01","Marketer","75871.12","False"
"43","Tom","Moore","46","1978-11-03","Systems Engineer","79109.92","False"
"44","Jessie","Brown","38","1986-11-01","Systems Engineer","68051.24","False"
"45","Skylar","Clark","26","1998-10-29","Systems Engineer","88616.97","False"
"46","Chris","Moore","42","1982-11-02","Accountant","111795.91","False"
"47","Hank","Jackson","24","2000-10-28","HR Manager","91983.94","False"
"48","Dan","Moore","48","1976-11-03","HR Manager","108304.11","False"
"49","Skylar","Davis","23","2001-10-28","Software Engineer","120092.15","False"
"50","Jake","Wilson","42","1982-11-02","AI Engineer","113983.18","False"
"51","Skylar","Lewis","54","1970-11-05","Accountant","131608.64","False"
"52","Lucy","Smith","28","1996-10-29","Principal Consultant","122373.16","False"
"53","Tina","Jones","22","2002-10-28","Principal Consultant","142132.35","False"
"54","Mike","Taylor","56","1968-11-05","Principal Consultant","100381.71","False"
"55","Jessie","Perez","47","1977-11-03","Marketer","144955.77","False"
"56","Sara","Taylor","45","1979-11-03","HR Manager","79912.46","False"
"57","Sara","Lee","44","1980-11-02","AI Engineer","66434.4","False"
"58","Jake","Taylor","51","1973-11-04","Project Manager","81478.45","False"
"59","Hank","Taylor","36","1988-10-31","Business Analyst","110616.45","False"
"60","Sara","Garcia","26","1998-10-29","Project Manager","86150.3","False"
"61","Lucy","Lee","42","1982-11-02","Data Engineer","82165.55","False"
"62","Mike","Jackson","30","1994-10-30","Systems Engineer","121706.8","False"
"63","Jessie","Smith","50","1974-11-04","Business Analyst","60787.28","False"
"64","Lucy","Lee","44","1980-11-02","AI Engineer","79714.8","False"
"65","John","White","31","1993-10-30","Principal Consultant","85653.4","False"
"66","Paul","Moore","48","1976-11-03","HR Manager","93097.37","False"
"67","Anna","Garcia","30","1994-10-30","Systems Engineer","87237.7","False"
"68","Greg","Miller","59","1965-11-06","Business Analyst","74325.07","True"
"69","Tom","Martinez","59","1965-11-06","Marketer","95718.5","True"
"70","Mike","Wilson","28","1996-10-29","Marketer","146762.56","True"
"71","Tina","Miller","45","1979-11-03","Software Engineer","87866.39","True"
"72","Dan","Garcia","57","1967-11-06","Principal Consultant","134578.7","True"
"73","Lucy","Garcia","47","1977-11-03","Software Engineer","73874.07","True"
"74","Walter","Lee","29","1995-10-30","Business Analyst","128962.59","True"
"75","Sara","Garcia","30","1994-10-30","AI Engineer","144213.78","True"
"76","Walter","Taylor","36","1988-10-31","Business Analyst","145520.21","True"
"77","Sara","Moore","29","1995-10-30","Marketer","101302.36","True"
"78","Greg","Taylor","24","2000-10-28","Accountant","123355.44","True"
"79","Greg","Lee","47","1977-11-03","Project Manager","72672.15","True"
"80","Mike","Brown","39","1985-11-01","Accountant","105483.67","True"
"81","Walter","Taylor","38","1986-11-01","Business Analyst","131747.7","True"
"82","Saul","Miller","32","1992-10-30","Business Analyst","132987.91","True"
"83","Paul","Moore","48","1976-11-03","AI Engineer","68952.58","True"
"84","Anna","Garcia","34","1990-10-31","Accountant","94556.98","True"
"85","Chris","Jones","55","1969-11-05","Business Analyst","84998.17","True"
"86","Rick","Harris","59","1965-11-06","Systems Engineer","96491.46","True"
"87","Greg","Smith","26","1998-10-29","Business Analyst","143704.22","True"
"88","Tom","Clark","40","1984-11-01","Systems Engineer","128206.92","True"
"89","Jessie","Moore","28","1996-10-29","Software Engineer","117725.91","True"
"90","Anna","Wilson","34","1990-10-31","Systems Engineer","79925.91","True"
"91","Greg","Davis","35","1989-10-31","Principal Consultant","199872.45","True"
"92","Chris","Martinez","29","1995-10-30","Marketer","115698.34","True"
"93","Tina","Jackson","56","1968-11-05","Business Analyst","129937.28","True"
"94","Walter","Smith","58","1966-11-06","Software Engineer","139198.67","True"
"95","Sara","White","47","1977-11-03","Project Manager","194683.29","True"
"96","Lucy","Moore","40","1984-11-01","Principal Consultant","195984.58","True"
"97","Rick","Clark","52","1972-11-04","HR Manager","105002.47","True"
"98","John","Miller","60","1964-11-06","Data Engineer","110067.35","True"
"99","Kate","Jones","45","1979-11-03","Systems Engineer","1580463.92","True"
"100","Hank","Wilson","33","1991-10-31","Marketer","180045.77","True"
"101","Emily","Stone","29","1995-10-30","AI Engineer","105367.49","True"
"102","Robert","Evans","32","1992-10-30","Principal Consultant","121239.84","True"
"103","Chris","Johnson","28","1996-10-29","Data Engineer","110942.75","True"
"104","David","White","45","1979-11-03","Project Manager","133178.28","True"
"105","Sophia","Martinez","37","1987-11-01","Business Analyst","100247.63","True"
"106","Ethan","Garcia","41","1983-11-02","HR Manager","113849.91","False"
"107","Olivia","Clark","50","1974-11-04","Systems Engineer","128713.56","True"
"108","Benjamin","Brown","31","1993-10-30","Accountant","103451.77","True"
"109","Isabella","Taylor","30","1994-10-30","Software Engineer","117235.64","True"
"110","Liam","Wilson","27","1997-10-29","Marketer","98215.84","False"
